年分,標號,月標號,月份,2015,2014,企業完整名稱,統一編號,產業類別,所有權,股票代碼,所屬國家,地區,地址,聯絡信箱,聯絡電話,CSR網址,CSR報告網址,CSR社群媒體,報告書名稱,報告書類別,負責單位,出版次數,頁數,資訊揭露期間,上一次報告的出版年份?yyyy?,"報告週期?1, 2, 3, 4, 5?",報告框架,GRI行業補充指南,驗證單位,依循選項,保證標準,保證等級,"是否有指標對照表?0, 1, NA?",國家數量?#?,據點數量?#?, 男性總人數?#? , 女性總人數?#? ,工會,基金會,基金會_1,強制,編製狀態,食品相關產業
2016,97,45,10,1,0,黑松股份有限公司,20651901,食品工業,上市,1234,台灣,台北,台北市信義路四段296 號3 樓,http://www.heysong.com.tw/Home/Contact,02-27062191,http://www.heysong.com.tw/CSR/CSRReport,http://www.heysong.com.tw/Upload/CSRReport/daafecfb-dc13-453f-88d4-a02f3b5dca89/636110821088344580.pdf,0,黑松股份有限公司104年企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,68,2015.01~2015.12,2014,1,GRI G4,食品加工,Deloitte,Core(核心）,ISAE 3000,有限確信 Limited,1,2,6,384,155,1,1,黑松教育基金會,食品,強制,1
2016,98,46,10,1,1,蓋曼立凱電能科技(股)公司,27714536,電子零組件,上櫃,5227,台灣,桃園,桃園縣八德市豐田路68號,csr@alechem.com,03-368-9520,http://www.aleees.com/tw/csr.html,http://www.aleees.com/tw/csr/download-csr-report.html,http://www.aleees.com/tw/csr/2014-08-26-07-36-45.html,企業責任報告書,企業社會責任報告,企業社會責任委員會,3,97,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,2,5,231,79,0,0,0,0,自願,0
2016,99,47,10,0,0,盈正豫順電子股份有限公司,16444732,其他電子業,上櫃,3628,台灣,新北,新北市新店區寶高路 7巷 3 號 1 樓,ablerex.service@ablerex.com.tw,02-2917-6857,http://www.ablerex.com.tw/ch/about_8-4.php,0,0,2015企業社會責任報告,企業社會責任報告,企業社會責任委員會,1,74,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,6,9,176,61,0,0,0,0,自願,0
2016,100,48,10,1,0,裕融企業股份有限公司,23528130,其他,上市,9941,台灣,台北,台北市敦化南路二段二號十五樓,may.liao@tac.com.tw,02-2702-5055,http://www.tac.com.tw/content.php?menu=sustainable_1,http://www.tac.com.tw/content.php?menu=social3,0,2015企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,79,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,2,43,160,249,0,0,0,0,自願,0
2016,101,49,10,1,1,玉山金融控股股份有限公司,70796305,金融業,上市,2884,台灣,台北,台北巿民生東路三段115號,pr@esunbank.com.tw,(02)2175-1335,https://www.esunfhc.com/zh-tw/csr/overview/csr,https://www.esunfhc.com/zh-tw/csr/overview/csr,0,2015玉山金控企業社會責任報告書,企業社會責任報告,企業社會責任委員會,5,156,2015.01~2015.12,2014,1,GRI G4+IR,金融財務,Deloitte & BSI,Core(核心）,AA1000 & ISAE 3000,AA 1000第1類型 中度保證等級／有限確信,1,8,22,"3,487","4,427",0,1,玉山志工基金會、玉山文教基金會,金融,自願,0
2016,102,50,10,1,1,日月光半導體製造股份有限公司,76027628,半導體,上市,2311,台灣,高雄,高雄市楠梓加工出口區經三路 26 號 ,ASE_CSR@aseglobal.com ,07-361-7131 ,http://www.aseglobal.com/ch/Csr/CsrReportsDownloads.asp,http://www.aseglobal.com/ch/Csr/CsrReportsDownloads.asp,0,日月光集團企業社會責任報告書,企業社會責任報告,永續發展單位,7,146,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,Deloitte,Core(核心）,ISAE 3000,有限確信 Limited,1,9,32,"31,781","33,322",1,1,財團法人日月之光慈善事業基金會、財團法人日月光文教基金會,科技,自願,0
2016,103,51,10,1,1,大台北區瓦斯股份有限公司,11072304,油電燃氣業,上市,9908,台灣,台北,"台北市光復北路11巷35號1,4,5,13樓",e3@taipeigas.com.tw,(02)27686668,https://www.taipeigas.com.tw/CSR/,https://www.taipeigas.com.tw/CSR/about/report,https://www.youtube.com/channel/UCUQg4BMz0wldNmdLk_ucnCQ/feed,2015 Corporate Sustainability Report,企業社會責任報告,其他單位,3,78,2015.01~2015.12,2014,1,GRI G4,石油與天然氣,無驗證單位,無應用等級,無保證標準,無保證等級,1,1,9,227,78,0,0,0,0,自願,0
2016,104,52,10,1,0,綠能科技股份有限公司,27335280,半導體,上市,3519,台灣,桃園,桃園市觀音工業區大同路1段19-2號,Hau.Shie@getinc.com.tw,03-416-0207,http://www.getinc.com.tw/tw/CSR/CompanyProfile.html,http://www.getinc.com.tw/tw/CSR/CSRReport.html,0,2015年度綠能科技企業社會責任報告書,企業社會責任報告,企業社會責任委員會,1,96,2015.01~2015.12,第一次出版,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,2,"1,466",423,0,0,0,0,自願,0
2016,105,53,10,1,1,台灣國際造船股份有限公司,4695235,航運業,上市,2208,台灣,高雄,高雄市小港區中鋼路3號,081710@csbcnet.com.tw,886-7-8010111#2883,http://www2.csbcnet.com.tw/csr/,http://www2.csbcnet.com.tw/csr/download.htm,https://www.facebook.com/csbccsr,2016企業社會責任報告書,企業社會責任報告,企業社會責任委員會,6,94,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,2,"2,833",152,1,0,0,0,自願,0
2016,106,54,10,1,0,聯強國際股份有限公司,23060541,電子通路業,上市,2347,台灣,台北,台北市民生東路3段75號4樓,csr@synnex.com.tw,(02)2506-3320 分機1518,http://www.synnex-grp.com/g03_corporate_01.html,http://www.synnex-grp.com/g03_corporate_01.html,0,聯強國際2015年度企業社會責任報告書,企業社會責任報告,未註明負責單位,2,68,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,38,N/A,754,546,0,1,財團法人聯強文化藝術基金會,服務,強制,0
2016,107,55,10,1,1,信義房屋仲介股份有限公司,22354940,其他,上市,9940,台灣,台北,台北市信義區信義路五段100號,S209311@SINYI.COM.TW,27557666,http://csr.sinyi.com.tw/pdf/2015_sinyi_CSR.pdf,http://csr.sinyi.com.tw/pdf/2015_sinyi_CSR.pdf,https://www.facebook.com/sinyicharity/?fref=ts,2015年企業社會責任報告書,企業社會責任報告,其他單位,7,96,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,BSI,Comprehensive（全面）,AA1000,AA 1000第1類型 中度保證等級,1,3,561,"2,576","1,333",0,1,信義公益基金會、信義文化基金會,0,自願,0
2016,108,56,10,1,1,矽品精密工業股份有限公司,55991080,半導體,上市,2325,台灣,台中,台中市潭子區大豐路三段123號,csr@spil.com.tw,04-2534-1525,http://csr.spil.com.tw/03_report/report_1.aspx?lang=tw,http://csr.spil.com.tw/04_download/download.aspx?lang=tw,0,企業社會責任報告書,企業社會責任報告,環境安全衛生/ 能源環境,4,96,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,SGS,Core(核心）,AA1000,AA 1000第2類型 高度保證等級,1,6,11,"11,090","12,717",1,1,培生文教基金會,科技,自願,0
2016,109,57,10,1,0,加高電子股份有限公司,75914885,電子零組件,上櫃,8182,台灣,高雄,高雄市大寮區大發工業區華東路39號,csr@hele.com.tw,07-7871555,http://www.hele.com.tw/responsibility.php?id=62,http://www.hele.com.tw/responsibility.php?id=62,0,"2015
加高電子股份有限公司
企業社會責任報告書",企業社會責任報告,其他單位,2,109,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,5,6,133,177,0,0,0,0,自願,0
2016,110,58,10,1,0,東聯化學股份有限公司,14057995,化學工業,上市,1710,台灣,台北,台北市復興北路 101 號 13 樓,csroffice@oucc.com.tw,（02）2719-3333#201,http://www.oucc.com.tw/tw/green_04.asp,http://www.oucc.com.tw/upload/tw/%E6%9D%B1%E8%81%AF%202015%E5%B9%B4%20CSR%20report.pdf,0,東聯化學2015企業社會責任報告書,企業社會責任報告,其他單位,2,106,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,SGS,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,2,2,355,35,1,0,0,傳產,強制,0
2016,111,59,10,1,0,聚和國際股份有限公司,4243562,化學工業,上櫃,6509,台灣,高雄,高雄市大寮區潮寮里華東路28號,CSR@Hopax.com.tw?,07-7887600,http://www.hopax.com/tc/p5-csr.asp,http://www.hopax.com/tc/p5-csr.asp,0,民國104年度企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,94,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,Deloitte,Core(核心）,ISAE 3000,有限確信 Limited,1,5,8,246,125,0,1,聚合文化藝術基金會,傳產,強制,0
2016,112,60,10,1,1,磐儀科技股份有限公司,84469443,電腦及週邊,上櫃,3594,台灣,新北,新北市中和區中正路700號10樓,csr@arbor.com.tw,886-2-8226-9396,N/A,http://www.arbor-technology.com/tw/Investor/Corporate_Governance,0,2015磐儀科技股份有限公司社會責任報告書,企業社會責任報告,企業社會責任委員會,5,84,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,0,8,14,265,183,0,0,0,0,自願,0
2016,113,62,10,1,0,官田鋼鐵股份有限公司,72065240,鋼鐵工業,上市,2017,台灣,台南,台南市民生路二段307號5樓, audit@quintain.com.tw,06-2266889,NA,http://www.quintain.com.tw/customer/C000776/files/105%E4%BC%81%E6%A5%AD%E8%B2%AC%E4%BB%BB%E5%A0%B1%E5%91%8A%E6%9B%B8-1050510-2-ilovepdf-compressed.pdf,0,官田鋼鐵股份有限公司企業責任報告,企業責任報告,未註明負責單位,3,111,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,4,,,0,0,0,0,自願,0
2016,114,63,10,1,1,台灣積體電路製造股份有限公司,22099131,半導體,上市,2330,台灣,新竹,新竹科學工業園區新竹市力行六路8號,invest@tsmc.com,02-6636-5566,http://www.tsmc.com.tw/chinese/csr/csr_report.htm,http://www.tsmc.com.tw/chinese/csr/csr_report.htm,https://www.facebook.com/tsmccsr/,台積公司民國104年度企業社會責任報告書,企業社會責任報告,企業社會責任委員會,9,134,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,DNV,Comprehensive（全面）,AA1000／DNV GL Protocol,中度保證等級,1,NA,NA,"26,580","18,692",0,1,台積電文教基金會,科技,自願,0
2016,115,64,10,1,1,台灣電力股份有限公司,3795904,其他,未上市櫃,9963,台灣,台北,台北市羅斯福路3段242號,service@taipower.com.tw,02-2365-1234,http://csr.taipower.com.tw/download01_01.aspx,http://csr.taipower.com.tw/download01_01.aspx,https://www.facebook.com/sharer.php?u=http%3A%2F%2Fwww.taipower.com.tw%2F&t=%E6%AD%A1%E8%BF%8E%E5%85%89%E8%87%A8%E5%8F%B0%E7%81%A3%E9%9B%BB%E5%8A%9B%E5%85%AC%E5%8F%B8%E5%85%A8%E7%90%83%E8%B3%87%E8%A8%8A%E7%B6%B2%E7%AB%99~%E8%AA%A0%E4%BF%A1%E3%80%81%E9%97%9C%E6%87%B7%E3%80%81%E6%9C%8D%E5%8B%99%E3%80%81%E6%88%90%E9%95%B7,台灣電力公司永續報告書,企業永續報告/永續發展報告,永續發展委員會,10,124,2015.01~2015.12,2015,1,GRI G4,電力公司,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,N/A,"23,387","3,272",0,0,0,0,自願,0
2016,116,65,10,1,0,東生華製藥股份有限公司,53093421,生技醫療,上櫃,8432,台灣,台北,台北市南港區園區街3之1號3樓之1,csr@tshbiopharm,02-2655-8525,http://www.tshbiopharm.com/csr.html,http://www.tshbiopharm.com/pdf/TSHCSR104.pdf,0,企業社會責任報告,企業社會責任報告,未註明負責單位,3,35,2015.01~2015.12,2015,1,無框架,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,0,N/A,N/A,19,51,0,0,0,0,自願,0
2016,117,66,10,1,0,漢民微測科技股份有限公司,80399207,電機機械,上櫃,3658,台灣,新竹,新竹市埔頂路18號7樓,investor@hermes-microvision.com,03-666-9229,http://www.hermes-microvision.com/ch/CSR/,http://www.hermes-microvision.com/ch/CSR/report.php,0,2015企業社會責任報告書,企業社會責任報告,企業社會責任委員會,3,65,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,5,6,311,73,0,0,0,0,自願,0
2016,118,67,10,1,1,宇瞻科技股份有限公司,97444368,半導體,上市,8271,台灣,新北,新北市土城區忠承路32號,N/A,N/A,http://tw.apacer.com/about/csr/,http://tw.apacer.com/about/csr/,0,2015企業社會責任報告書,企業社會責任報告,未註明負責單位,3,10,N/A,2014,1,無框架,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,0,N/A,N/A,,,0,0,0,0,自願,0
2016,119,68,10,1,1,第一金融控股股份有限公司,80351999,金融業,上市,2892,台灣,台北,台北市重慶南路一段30號,i92122@fhc.com.tw,02-2348-5364,http://www.firstholding.com.tw/tw/csr/csr_a01.htm,http://www.firstholding.com.tw/tw/csr/responsibility.htm,0,2015企業社會責任報告書,企業社會責任報告,企業社會責任委員會,5,136,2015.01~2015.12,2015,1,GRI G4,金融財務,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,13,258,"3,850","5,360",1,1,財團法人第 一商業銀行文教基金會,金融,自願,0
2016,120,69,10,1,0,鴻海精密工業股份有限公司,4541302,其他電子業,上市,2317,台灣,新北,新北市土城區自由街2號,stockaffairs@foxconn.com,02-2268-3466,http://ser.foxconn.com/SelectLanguageAction.do?language=0&jump=/index.jsp,http://ser.foxconn.com/ViewAnuReport.do?action=showAnnual,0,2015企業社會責任報告書,企業社會責任報告,企業社會責任單位,8,58,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,Bureau Veritas,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,N/A,N/A,,,1,1,永齡社會福利慈善事業基金會,科技,自願,0
2016,121,70,10,1,1,台達電子工業股份有限公司,34051920,電子零組件,上市,2308,台灣,桃園,桃園市龜山區興邦路31-1號,mkt-serv@delta.com.tw,03-362-6301,http://www.deltaww.com/about/csr_features_ch.aspx?secID=5&pid=6&tid=0&hl=zh-TW,http://www.deltaww.com/about/csr_Report.aspx?secID=5&pid=6&tid=9&hl=zh-TW,http://www.deltaww.com/about/csr_information_ch.aspx?secID=5&pid=6&tid=10&hl=zh-TW,台達集團企業社會責任報告書,企業社會責任報告,企業社會責任委員會,11,106,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,SGS & PricewaterhouseCoopers,Core(核心）,AA1000 & ISAE 3000,AA 1000第1類型 中度保證等級／有限確信,1,3,153,"44,332","38,479",0,1,0,科技,自願,0
2016,122,71,10,1,1,亞太電信股份有限公司,70771579,通信網路業,上市,3682,台灣,台北,台北市內湖區基湖路32號8樓,auditbox@aptg.com.tw,02-5555-8888,http://www.aptg.com.tw/corporate/Social_GreenTelcom.htm,http://www.aptg.com.tw/corporate/Social_CSR.htm,0,亞太電信2015企業社會責任報告書,企業社會責任報告,品牌/公共關係,3,69,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,Bureau Veritas,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,,829,796,1,0,0,服務,自願,0
2016,123,72,10,1,1,國泰金融控股股份有限公司,70827406,金融業,上市,2882,台灣,台北,台北市仁愛路四段296號,services@cathayholdings.com.tw,27087698,https://www.cathayholdings.com/holdings/web/csr/TE_1-2-3.aspx,https://www.cathayholdings.com/holdings/web/csr/TE_1-2-3.aspx,https://www.cathayholdings.com/holdings/web/csr/TE_1-2-4.aspx,企業社會責任報告書,企業社會責任報告,企業社會責任委員會,5,64,2015.01~2015.12,2014,1,GRI G4+IR,金融財務,PricewaterhouseCoopers,無應用等級,ISAE 3000,有限確信 Limited,1,11,800,"11,688","30,493",0,1,國泰人壽基金會,金融,自願,0
2016,124,73,10,0,0,東和鋼鐵企業股份有限公司,75280209,鋼鐵工業,上市,2006,台灣,台北,台北市長安東路一段九號六樓,dingyuj@tunghosteel.com ,02-2551-1100 #531,http://www.tunghosteel.com/csr/report#,http://www.tunghosteel.com/csr/report#,0,104年企業社會責任報告書,企業社會責任報告,其他單位,1,112,2015.01~2015.12,第一次出版,1,GRI G4,採礦與金屬,SGS,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,5,"1,442",124,1,1,財團法人東和鋼鐵文化基金會,0,自願,0
2016,125,74,10,1,1,台虹科技股份有限公司,16198345,電子零組件,上市,8039,台灣,高雄,高雄市前鎮區高雄加工出口區環區三路一號,steve_wu@taiflex.com.tw,07-8139989#72801,http://www.taiflex.com.tw/c/csr_message.php,http://www.taiflex.com.tw/c/csr_message.php,0,企業社會責任報告書,企業社會責任報告,企業社會責任委員會,4,93,2015.01~2015.12,2014,1,GRI G3.1,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,4,N/A,,,0,0,0,0,自願,0
2016,126,75,10,1,0,金寶電子工業股份有限公司,4370927,其他電子業,上市,2312,台灣,台北,臺北市南京東路五段99號10樓,KINPO_CSR@kinpo.com.tw,(02)2662-2660 轉 12262,http://www.kinpo.com.tw/ChineseT/Commitment_11.aspx,http://www.kinpo.com.tw/ChineseT/invest_1.aspx#1,0,企業社會責任報告書,企業社會責任報告,企業社會責任單位,3,94,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,3,5,245,174,0,1,許潮英慈善基金會,科技,自願,0
2016,127,76,10,1,0,和泰汽車股份有限公司,3251108,汽車工業,上市,2207,台灣,台北,台北市中山區松江路121號8~14樓,mandy@mail.hotaimotor.com.tw,02-2506-2121,http://pressroom.hotaimotor.com.tw/csr,http://pressroom.hotaimotor.com.tw/csr/article/EMIOLumvx,https://www.facebook.com/Toyotalove.earth99/?fref=ts,企業社會責任報告書,企業社會責任報告,品牌/公共關係,4,156,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,314,350,199,0,1,0,0,自願,0
2016,128,77,10,1,1,瑞助營造股份有限公司,45910546,建材營造,未上市櫃,N/A,台灣,台北,台北市中正區忠孝西路一段50號9樓,"ko0895@mstc,reiju.com.tw",04-23278766,http://csr.reiju.com.tw/,http://csr.reiju.com.tw/,1,CSR企業永續報告書,企業永續報告/永續發展報告,企業社會責任委員會,6,100,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,2,7,335,129,0,0,0,0,自願,0
2016,129,78,10,1,1,遠傳電信股份有限公司,97179430,通信網路業,上市,4904,台灣,台北,台北市內湖區瑞光路468號,pr@fareastone.com.tw,02-7723-5000,https://www.fetnet.net/cs/Satellite/Corporate/coSociety,https://www.fetnet.net/cs/Satellite/Corporate/coSocietyReport,0,2015遠傳電信企業社會責任報告書,企業社會責任報告,企業社會責任委員會,5,99,2015.01~2015.12,2015,1,GRI G4+IR,電信業補充指引,SGS,Core(核心）,AA1000,AA 1000第2類型 高度保證等級,1,1,906,"3,319","3,753",0,1,財團法人遠傳電訊科技發展基金會,服務,自願,0
2016,130,79,10,1,0,富晶通科技股份有限公司,70791435,光電業,上櫃,3623,台灣,桃園,桃園巿龜山區華亞三路50號6樓之1,service@transtouch.com.tw,03-397-8800,N/A,http://www.transtouch.com.tw/society01.asp,0,2015企業社會責任報告書,企業社會責任報告,企業社會責任委員會,3,69,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,N/A,N/A,83,97,0,0,0,0,自願,0
2016,131,80,10,0,0,特力股份有限公司,20795246,貿易百貨,上市,2908,台灣,台北,台北市內湖區新湖三路23號6樓,N/A,02-8791-5888 #5122,http://www.testritegroup.com/wps/portal/!ut/p/c5/04_SB8K8xLLM9MSSzPy8xBz9CP0os_gwT1_LkCB_YwN3Ay8XA09LNzefEEtfIwMDI6B8pFm8AQ7gaEBAt59Hfm6qfkFuRDkAqLyyaw!!/dl3/d3/L2dJQSEvUUt3QS9ZQnZ3LzZfVklNOVRSTzMwRzBKRDBJOUZGTFQ5TTIwUDc!/,http://www.testritegroup.com/wps/portal/!ut/p/c5/04_SB8K8xLLM9MSSzPy8xBz9CP0os_gwT1_LkCB_YwN3Ay8XA09LNzefEEtfI4MAc6B8pFm8AQ7gaIBPt4ERRHewmzFQRbCxiZuThaWBo4uns79TIFDezIwYu3GabkCRbiMCuv088nNT9QtyQ0NDI8oVAfK8aG0!/dl3/d3/L2dJQSEvUUt3QS9ZQnZ3LzZfU0YzSU05UzM0RkU3MDBBVEI4UDNDUjMwODA!/,0,2015企業社會責任報告書,企業社會責任報告,品牌/公共關係,1,122,2015.01~2015.12,第一次出版,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,11,65,"2,125","2,685",0,0,0,0,自願,0
2016,132,81,10,1,1,新鼎系統股份有限公司,22619999,資訊服務業,上櫃,5209,台灣,台北,台北市中山北路六段89號10樓, webservices@acs.com.tw,02-2785-3839 #59125,N/A,http://www.acs.com.tw/big5/program/inner/inner.asp?topicid=5066,0,2015企業社會責任報告書,企業社會責任報告,企業社會責任委員會,7,113,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第2類型 高度保證等級,1,2,5,205,77,0,0,0,0,自願,0
2016,133,82,10,0,0,高雄市立小港醫院,19901091,醫院機構,未上市櫃,N/A,台灣,高雄,高雄市小港區山明路482號,kmsh.csr@kmhk.org.tw,07-803-6783 #3458#3402,http://www.kmhk.org.tw/CSR/2016%E5%B9%B4%E7%89%88CSR.pdf,http://www.kmhk.org.tw/CSR/,0,高雄市立小港醫院永續發展社會責任報告書,企業永續與社會責任報告,未註明負責單位,3,134,2014.01~2015.12,2015,2,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,1,1,154,687,0,0,0,0,自願,0
2016,134,1,11,1,0,大立高分子工業股份有限公司,85004174,化學工業,上櫃,4716,台灣,高雄,高雄市仁武區後安里永宏巷10號,dlgl01@mail.daily-polymer.com,07-3711321 #261,http://www.daily-polymer.com/style/frame/templates18/features.asp?content_set=color_5&lang=1&customer_id=699&name_id=536,http://www.daily-polymer.com/s/1/features-536-12863/%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB%E5%A0%B1%E5%91%8A%E6%9B%B8.html,0,大立高分子工業2015企業社會責任報告書,企業社會責任報告,企業社會責任單位,2,58,2015.01~2015.12,第一次出版,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,2,6,117,51,1,0,0,傳產,強制,0
2016,135,2,11,0,0,彰源企業股份有限公司,60330130,鋼鐵工業,上市,2030,台灣,雲林,雲林縣斗六市工業區工業路122號,Investors@froch.com,886-5-557-6868 #140~145,http://www.froch.com.tw/TCHI/Corporate_Social_Responsibility.php?,http://www.froch.com.tw/File/Corporate_Social_Responsibility/2015CSR.pdf?Corporate_Social_Responsibility_Button06=+2015%E5%B9%B4%E5%BA%A6%E5%A0%B1%E5%91%8A%E6%9B%B8%E4%B8%8B%E8%BC%89,,2015企業社會責任報告書,企業社會責任報告,企業社會責任委員會,1,60,2015.01~2015.12,第一次出版,1,GRI G4,採礦與金屬,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,3,536,77,0,0,,0,自願,0
2016,136,3,11,1,0,京城商業銀行股份有限公司,68921101,金融業,上市,2809,台灣,台南,台南市西門路一段506號,N/A,06-213-9171,https://customer.ktb.com.tw/new/about/b0b73fac,https://customer.ktb.com.tw/new/about/b0b73fac,N/A,企業社會責任報告書,企業社會責任報告,企業社會責任單位,2,61,2015.01~2015.12,2015,1,GRI G4,金融財務,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,67,354,554,0,0,0,金融,強制,0
2016,137,4,11,0,0,敦陽科技股份有限公司,84218848,資訊服務業,上市,2480,台灣,新竹,新竹市東大路二段83號12F之1,N/A,03-542-5566,http://www.sti.com.tw/-,http://www.sti.com.tw/-,N/A,企業社會責任報告書,企業社會責任報告,未註明負責單位,3,125,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,4,13,420,172,0,0,0,0,自願,0
2016,138,5,11,1,0,大慶證券股份有限公司,22957098,金融業,上櫃,6021,台灣,台北,臺北市民生東路二段一七四、一七六號四樓,computer@mail.tcstock.com.tw,02-2508-4888,http://www.tcstock.com.tw/,http://www.tcstock.com.tw/,0,2015年企業社會責任報告書,企業社會責任報告,企業社會責任單位,2,57,2015.01~2015.12,2014,1,GRI G4,金融財務,無驗證單位,無應用等級,無保證標準,無保證等級,1,1,14,101,272,0,0,0,金融,強制,0
2016,139,6,11,1,0,中國人造纖維股份有限公司,7066907,化學工業,上市,1718,台灣,台北,台北市新生南路一段五十號十樓,fion-wen@cmfc.com.tw,02-23937111,www.cmfc.com.tw/tw/contact.aspx,http://www.cmfc.com.tw/tw/welfare_reportbooks.aspx,0,2015年企業社會責任報告書,企業社會責任報告,未註明負責單位,2,64,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,2,505,98,0,0,0,傳產,強制,0
2016,140,7,11,1,0,上曜建設開發股份有限公司,73654033,化學工業,上市,1316,台灣,台南,台南市安平區永華路二段248號20樓之6,sunyad_101@yahoo.com.tw ,06-2988-318 #85  ,http://www.sunyad.com.tw/responsibility.asp,http://www.sunyad.com.tw/responsibility.asp,N/A,2015年企業社會責任報告書,企業社會責任報告,未註明負責單位,2,77,2015.01~2015.12,第一次出版,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,3,24,30,0,0,0,傳產,強制,0
2016,141,8,11,1,0,中國合成橡膠股份有限公司,4382114,橡膠工業,上市,2104,台灣,台北,台北市中山北路二段113號8樓,N/A,02-2531-6556,N/A,http://www.csrcgroup.com/menu/m8/P80.aspx,N/A,中橡2015企業社會責任報告書,企業社會責任報告,未註明負責單位,2,54,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,4,9,112,15,0,1,財團法人辜公亮文教基金會,0,自願,0
2016,142,9,11,1,1,廣達電腦股份有限公司,22822281,電腦及週邊,上市,2382,台灣,桃園,桃園市龜山區文化里文化二路188號,qci.hr@quantatw.com,03-327-2345,http://www.quantatw.com/Quanta/chinese/about/CSR2015/index.asp,http://www.quantatw.com/Quanta/chinese/about/CSR2015/index.asp,0,廣達永續向前行,企業社會責任報告,企業社會責任委員會,7,103,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,Bureau Veritas,Core(核心）,AA1000,AA 1000第1類型 高度保證等級,1,2,4,"55,178","25,957",1,1,廣達文教基金會,科技,自願,0
2016,143,10,11,1,1,裕民航運股份有限公司,47067419,航運業,上市,2606,台灣,台北,台北市敦化南路二段207號29樓,uming@metro.feg.com.tw,02-2733-8000,http://www.uming.com.tw/interested_parties,http://www.uming.com.tw/csr_reports,0,2015年企業社會責任報告書,企業社會責任報告,企劃/市場行銷,4,104,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,DNV,Core(核心）,DNV GL Protocol,有限確信 Limited,1,3,5,,,0,0,0,0,自願,0
